flame_value,smoke_ppm,temperature_c,humidity_pct,fire_status
2647.6,181.5,25.63,65.95,0
3230.6,168.2,28.67,10.69,1
2466.4,214.4,20.84,41.62,0
1398.2,885.4,24.0,26.13,1
323.8,1897.7,77.81,25.58,2
3697.4,381.2,21.21,35.93,0
3994.2,655.7,26.0,42.02,0
4095.0,63.8,20.58,57.84,0
4058.8,653.1,25.92,50.69,0
4095.0,156.0,25.03,45.75,0
1344.7,2173.2,62.45,27.48,2
1846.8,222.5,41.0,25.14,1
3180.1,497.8,28.56,65.12,0
4095.0,47.8,21.19,45.88,0
2434.5,1315.6,32.96,29.65,1
1997.2,276.9,42.33,29.03,1
3411.5,705.6,31.52,23.27,1
516.6,2731.2,55.11,29.52,2
3334.9,563.6,24.54,74.56,0
4095.0,292.1,18.97,47.86,0
3493.4,28.4,23.85,35.4,0
187.4,3809.8,50.3,39.64,2
1927.3,740.2,40.91,42.06,1
2233.1,715.0,38.74,28.1,1
1395.6,2721.3,53.78,19.75,2
611.2,6530.2,51.13,30.63,2
3292.5,322.7,25.97,66.3,0
174.8,1290.4,96.63,16.34,2
2308.9,646.8,27.35,39.88,1
1709.1,150.0,32.0,40.44,1
244.4,1596.3,45.4,12.02,2
702.3,3477.2,68.81,17.2,2
513.4,864.2,35.0,27.58,2
3438.0,302.5,15.21,64.06,0
3348.1,1430.8,33.04,26.48,1
2995.8,109.0,25.07,64.15,0
3050.3,150.0,31.86,54.78,1
3042.6,163.3,39.35,62.73,1
30.2,1306.9,98.33,19.9,2
2532.3,699.1,41.83,53.37,1
2402.6,451.7,24.14,25.63,1
4095.0,881.123343580492,35.810239351466215,38.43,0
3042.3,63.8,23.28,70.26,0
1482.3,1640.1,43.32,8.0,1
1092.4,1875.9,35.0,26.66,2
2434.6,204.3,24.0,59.82,1
1156.8,2420.6,63.64,19.21,2
2772.0,234.8,37.24,51.01,1
3497.2,164.0,23.73,79.24,0
2406.2,169.1,25.5,52.46,0
3355.1,675.1689138603135,31.733095602345074,50.95,0
3120.5,734.3668247304944,30.200780095799125,36.35,0
2859.5,656.7,29.75436578489536,42.94,0
2284.1,1284.9,27.62,8.0,1
2811.9,1461.1,36.46,24.94,1
660.7,1362.1,65.05,3.0,2
2518.7,493.2,32.68,32.34,1
2141.5,414.5,37.16,38.48,1
3898.1,315.6,22.43,73.81,0
0.0,1094.2,91.78,5.32,2
1612.6,4178.9,58.67,17.08,2
2896.0,479.5,24.0,59.17,1
1245.1,3025.4,82.57,13.46,2
1188.9,2317.1,55.24,10.88,2
3519.2,130.5,25.08,50.22,0
2278.2,1995.8,40.53,27.16,1
2846.0,270.1,35.45,39.48,1
2528.4,360.5,40.75,50.85,1
4095.0,178.5,27.94,51.41,0
3372.2,747.4628124679003,28.735597299832527,69.11531767728988,0
2536.5,1573.1,32.91,14.82,1
394.9,1957.6,83.13,23.21,2
2308.2,770.3,27.65,35.05,1
2041.9,723.2,34.71,33.41,1
527.8,887.5,75.97,32.87,2
3682.8,302.5,30.43,57.27,0
2640.3,258.9,18.21,57.08,0
3289.5,67.5,26.82,54.52,0
2481.2,293.4,32.7,75.0,1
3103.8,215.5,28.64,35.73,0
854.7,3783.4,71.68,44.81,2
303.8,1026.2,43.96,23.83,2
465.1,2663.2,74.37,17.93,2
3074.2,375.9,25.34,48.62,0
3527.2,39.7,23.84,41.83,0
403.8,3787.8,68.2,19.9,2
2164.2,78.7,23.59,66.97,0
2254.5,281.3,33.53,72.97,1
2684.6,692.2,36.92,40.67,1
2525.8,469.3,46.4,48.07,1
1578.6,375.1,35.02,51.42,1
3389.9,708.5,31.29,23.16,1
741.0,896.5,59.85,33.95,2
3673.5,73.8,23.19,70.0,0
3505.5,539.3,17.67,87.93,0
860.6,1306.9,51.24,12.0,2
3500.3,102.6,25.98,58.2,0
3387.5,383.5,30.86,49.55,0
3144.4,599.1023537804579,31.455545148708353,60.25,0
2687.6,89.6,22.9,62.85,0
2755.5,154.9,45.7,61.62,1
2847.1,47.1,22.51,56.87,0
985.8,2357.7,75.14,14.75,2
1976.0,401.6,32.02,43.24,1
3779.5,175.5,26.21,56.23,0
1157.3,3046.5,58.78,33.14,2
1614.1,878.1,34.12,12.33,1
2016.4,297.0,45.44,15.76,1
2603.5,123.4,28.01,58.1,0
2478.4,551.6,44.08,39.38,1
1892.5,1047.3,29.25,52.75,1
1339.0,815.3,65.35,13.53,2
2256.0,584.7,32.58,43.0,1
2732.1,150.0,33.45,45.63,1
3236.2,88.5,22.86,41.78,0
2678.4,346.0,29.36,36.22,1
3112.1,216.5,24.72,26.83,0
3629.6,228.1,14.69,52.35,0
3489.8,48.2,21.1,70.3,0
3454.3,70.7,22.99,52.25,0
3397.6,150.0,41.83,38.0,1
3736.3,264.2,20.82,41.97,0
2613.1,562.8,33.54,26.35,1
2471.4,788.1,43.14,47.58,1
2688.9,1016.1,37.36,37.34,1
866.7,1964.2,95.79,28.34,2
2941.0,211.3,28.3,14.44,1
3606.7,381.3,25.98,60.6,0
888.9,2551.3,69.96,34.81,2
3349.9,219.8,31.96,56.82,0
1048.5,1038.1,44.72,21.5,2
566.9,4092.4,35.0,22.55,2
3347.2,258.8,24.54,19.28,1
633.4,4307.9,37.08,35.22,2
3488.2,94.1,21.07,49.63,0
2652.3,495.5,33.45,47.76,1
2170.7,408.7,36.34,24.05,1
3100.3,96.8,21.14,74.3,0
4095.0,223.2,17.65,32.05,0
3200.2,355.2,18.88,44.01,0
1399.2,318.1,29.08,53.0,1
3588.7,374.6,20.59,15.0,0
2352.8,951.7,34.15,38.6,1
1224.2,2912.8,48.59,9.54,2
3332.8,115.1,15.34,51.51,0
3196.0,8.4,32.22,38.14,0
1849.2,709.6,46.61,32.59,1
3301.3,75.0,23.87,69.77,0
3206.1,613.6,29.22,47.12,0
1218.2,2184.8,69.35,29.87,2
2886.7,763.6,40.21,40.15,1
1764.8,2701.1,35.0,9.77,2
4095.0,294.9,19.28,40.41,0
3609.8,265.7,18.94,72.21,0
0.0,2795.7,45.89,20.55,2
900.0,246.6,37.02,34.85,1
3512.2,365.5,29.14,66.24,0
537.9,1451.5,48.96,33.56,2
3290.2,35.0,27.41,62.1,0
3424.4,8716.749652323893,19.49,79.09,0
2076.7,411.5,26.37,43.08,1
3634.4,287.7,20.89,52.0,0
4095.0,114.9,18.84,29.35,0
2251.6,1889.3,44.96,58.85,1
732.8,5362.6,43.34,8.55,2
568.2,772.7,66.07,26.58,2
